actual,predicted,correct,timestamp,model_used
A,M,False,1747422897.4584095,model2
A,A,True,1747422897.6468463,model1
A,A,True,1747422897.7883165,model1
A,A,True,1747422897.93415,model1
A,A,True,1747422898.086852,model1
A,A,True,1747422898.2318418,model1
A,A,True,1747422898.3782773,model1
A,A,True,1747422898.5272934,model1
A,A,True,1747422898.6770117,model1
A,A,True,1747422898.8404388,model1
A,A,True,1747422898.9947257,model1
A,A,True,1747422899.175599,model1
A,A,True,1747422899.3286781,model1
A,A,True,1747422899.476761,model1
A,A,True,1747422899.6237242,model1
A,A,True,1747422899.7737665,model1
A,A,True,1747422899.9206057,model1
A,A,True,1747422900.069354,model1
A,A,True,1747422900.2158139,model1
A,A,True,1747422900.36078,model1
A,A,True,1747422900.506473,model1
A,A,True,1747422900.6518261,model1
A,A,True,1747422900.797458,model1
A,A,True,1747422900.9620354,model1
A,A,True,1747422901.116988,model1
A,A,True,1747422901.262533,model1
A,A,True,1747422901.411174,model1
A,A,True,1747422901.5592108,model1
A,A,True,1747422901.7068307,model1
A,A,True,1747422901.85142,model1
A,A,True,1747422901.999584,model1
A,A,True,1747422902.1464448,model1
A,A,True,1747422902.2910006,model1
A,M,False,1747422902.4365177,model2
A,M,False,1747422902.584093,model2
A,M,False,1747422902.7288773,model2
A,M,False,1747422902.8877327,model2
A,M,False,1747422903.0377095,model2
A,M,False,1747422903.18252,model2
A,A,True,1747422903.3275638,model1
A,A,True,1747422903.4736571,model1
A,A,True,1747422903.6206946,model1
A,A,True,1747422903.7680676,model1
A,A,True,1747422903.920016,model1
A,A,True,1747422904.068141,model1
A,A,True,1747422904.2135575,model1
A,A,True,1747422904.359558,model1
A,A,True,1747422904.516161,model1
A,A,True,1747422904.6652794,model1
A,A,True,1747422904.8174856,model1
A,A,True,1747422904.9593692,model1
A,A,True,1747422905.1205523,model1
A,A,True,1747422905.2673173,model1
A,A,True,1747422905.4130118,model1
A,A,True,1747422905.5595748,model1
A,A,True,1747422905.7070584,model1
A,A,True,1747422905.852779,model1
A,A,True,1747422905.99885,model1
A,A,True,1747422906.157741,model1
A,A,True,1747422906.3048913,model1
A,A,True,1747422906.453762,model1
A,A,True,1747422906.5939121,model1
A,A,True,1747422906.7387185,model1
A,A,True,1747422906.8875787,model1
A,A,True,1747422907.0325422,model1
A,A,True,1747422907.1742845,model1
A,A,True,1747422907.3182704,model1
A,A,True,1747422907.4672554,model1
A,A,True,1747422907.6261554,model1
A,A,True,1747422907.7706163,model1
A,A,True,1747422907.9177094,model1
A,A,True,1747422908.0651958,model1
A,A,True,1747422908.211036,model1
A,A,True,1747422908.3620667,model1
A,A,True,1747422908.5152647,model1
A,A,True,1747422908.66666,model1
A,A,True,1747422908.8117685,model1
A,A,True,1747422908.956071,model1
A,A,True,1747422909.1013272,model1
A,A,True,1747422909.255774,model1
A,A,True,1747422909.399082,model1
A,A,True,1747422909.5614822,model1
A,A,True,1747422909.724224,model1
A,A,True,1747422909.889557,model1
A,A,True,1747422910.0351658,model1
A,A,True,1747422910.184004,model1
A,A,True,1747422910.3337715,model1
A,A,True,1747422910.479146,model1
A,A,True,1747422910.6257312,model1
A,A,True,1747422910.771904,model1
A,A,True,1747422910.9241564,model1
A,A,True,1747422911.0758934,model1
A,A,True,1747422911.22398,model1
A,A,True,1747422911.372257,model1
A,A,True,1747422911.5203495,model1
A,A,True,1747422911.6763864,model1
A,A,True,1747422911.8260584,model1
A,A,True,1747422911.9796238,model1
A,A,True,1747422912.130649,model1
A,A,True,1747422912.2889907,model1
A,A,True,1747422912.4368649,model1
A,A,True,1747422912.5811293,model1
A,A,True,1747422912.7247107,model1
A,A,True,1747422912.8721938,model1
A,A,True,1747422913.021787,model1
A,A,True,1747422913.1771562,model1
A,A,True,1747422913.3324285,model1
A,A,True,1747422913.4867141,model1
A,A,True,1747422913.6338792,model1
A,A,True,1747422913.7796571,model1
A,A,True,1747422913.9511514,model1
A,A,True,1747422914.1262178,model1
A,A,True,1747422914.2738404,model1
A,A,True,1747422914.4194982,model1
A,A,True,1747422914.5652595,model1
A,A,True,1747422914.7146783,model1
